,Value
1室0厅,213.18412727058399
1室1厅,228.92795151607402
1室2厅,433.6522478379817
1室3厅,373.5485432422915
2室0厅,295.9446466145049
2室1厅,293.5500525260103
2室2厅,475.65451782737455
2室3厅,373.3926864216049
3室0厅,375.6183094930772
3室1厅,323.4325250477126
3室2厅,635.5352806696375
3室3厅,397.2179773025637
3室4厅,367.0583158240212
4室0厅,368.52227818047163
4室1厅,384.0532372687761
4室2厅,715.9477406008826
4室3厅,464.0816658849938
4室4厅,371.83845249345063
5室1厅,369.696473718758
5室2厅,501.75927275175394
5室3厅,459.29496777016783
5室4厅,375.6602895082317
6室1厅,370.26819937044
6室2厅,390.95329666820317
6室3厅,390.60810259776423
6室4厅,374.01884213981066
6室5厅,369.1884651511709
7室0厅,367.62035883887853
7室1厅,366.96255152990847
7室2厅,369.29711261755773
7室4厅,367.9758405664533
8室2厅,369.3711894036626
8室3厅,373.51234440563724
9室3厅,368.9392957159549
其他,371.64071013972415
毛坯,303.1343861957938
简装,300.72293426818436
精装,417.6910171902679
一梯一户,535.2047845121085
一梯七十七户,358.3228461875078
一梯七十九户,366.3103576506703
一梯七户,289.28573050886814
一梯三十一户,367.22501000166926
一梯三十七户,364.2227895082317
一梯三十三户,367.54186845560014
一梯三十二户,366.2308874519948
一梯三十五户,365.90669310396845
一梯三十六户,364.80238691968015
一梯三十四户,365.25568424507384
一梯三十户,365.60966340099816
一梯三户,291.2066719335514
一梯两户,362.77393319659814
一梯九户,328.1375363243617
一梯二十一户,364.5977895082317
一梯二十七户,366.0254210871791
一梯二十三户,361.7346064854917
一梯二十九户,365.26555266612644
一梯二十二户,343.58673000149093
一梯二十五户,367.4361854652399
一梯二十八户,364.5761574114834
一梯二十六户,360.2451374137458
一梯二十四户,360.941058098395
一梯二十户,316.26270970565173
一梯五户,266.147943759513
一梯八十户,362.18478179316753
一梯八户,268.597026925986
一梯六十五户,365.8109835330114
一梯六十八户,366.8732715579551
一梯六十户,366.6017483791471
一梯六户,257.19285077637323
一梯十一户,342.5106514585784
一梯十七户,362.15872316124575
一梯十三户,360.76076783437287
一梯十九户,364.1894451951692
一梯十二户,338.0469887935462
一梯十五户,359.2769383040199
一梯十八户,342.174005760752
一梯十六户,346.25143546697427
一梯十四户,350.39008488031044
一梯十户,334.68861684696833
一梯四十九户,365.7977822128793
一梯四十户,364.05484593607355
一梯四户,251.1469967821229
三梯一户,372.88320533278954
三梯七十七户,367.38780069934364
三梯七户,426.6867273025637
三梯三十七户,364.56818424507384
